time (s)	coil I (A)	last det (V)	int current (uC)
10901.257762	1.285060	0.283429	646.385071
10901.258663	1.717903	0.283429	2194.215576
10901.259529	1.691301	0.283429	3658.882568
10901.260646	1.634843	0.283429	5485.001953
10901.261620	1.584664	0.283429	7028.464844
10901.262504	1.542411	0.283429	8391.956055
10901.263513	1.494972	0.283429	9900.382812
10901.264572	1.447929	0.283429	11433.739258
10901.265473	1.409257	0.283429	12703.479492
10901.266363	1.371105	0.283429	13923.762695
10901.267466	1.328258	0.283429	15388.831055
10901.268427	1.290875	0.283429	16629.361328
10901.269295	1.258605	0.283429	17721.830078
10901.270334	1.221643	0.283429	18991.117187
10901.271369	0.779048	0.283429	19797.431641
10901.272259	0.099734	0.283429	19886.195312
10901.273210	0.090743	0.283429	19972.492187
10901.274259	0.090707	0.283429	20067.644531
10901.275190	0.090685	0.283429	20152.072266
10901.276048	0.090641	0.283429	20229.841797
10901.277121	0.090747	0.283429	20327.212891
10901.278140	0.090692	0.283429	20419.628906
10901.279015	0.090663	0.283429	20498.958984
10901.279982	0.090721	0.283429	20586.687500
10901.281027	0.090743	0.283429	20681.513672
10902.231499	1.217747	0.276855	532.155273
10902.232380	1.713798	0.276855	2042.010986
10902.233404	1.690697	0.276855	3773.284668
10902.234468	1.636044	0.276855	5514.035156
10902.235354	1.589670	0.276855	6922.483398
10902.236239	1.544399	0.276855	8289.277344
10902.237360	1.493723	0.276855	9963.741211
10902.238322	1.450594	0.276855	11359.212891
10902.239186	1.413212	0.276855	12580.227539
10902.240213	1.370314	0.276855	13987.540039
10902.241253	1.329298	0.276855	15370.009766
10902.242150	1.294014	0.276855	16530.740234
10902.243100	1.259227	0.276855	17727.005859
10902.244157	1.220951	0.276855	19017.550781
10902.245096	0.873032	0.276855	19837.328125
10902.245961	0.110233	0.276855	19932.679687
10902.247027	0.090688	0.276855	20029.353516
10902.248038	0.090710	0.276855	20121.062500
10902.248931	0.090692	0.276855	20202.050781
10902.249906	0.090787	0.276855	20290.568359
10902.250960	0.090795	0.276855	20386.265625
10902.251879	0.090634	0.276855	20469.558594
10902.252739	0.090751	0.276855	20547.603516
10902.253821	0.090813	0.276855	20645.863281
10902.254805	0.090718	0.276855	20735.128906
10903.297552	1.274901	0.303031	650.199524
10903.298459	1.717214	0.303031	2207.712891
10903.299322	1.691418	0.303031	3667.406982
10903.300431	1.635945	0.303031	5481.669922
10903.301428	1.585019	0.303031	7061.934570
10903.302303	1.541960	0.303031	8411.150391
10903.303302	1.494792	0.303031	9904.448242
10903.304372	1.447390	0.303031	11453.155273
10903.305272	1.408953	0.303031	12721.212891
10903.306163	1.370537	0.303031	13942.361328
10903.307279	1.327079	0.303031	15423.381836
10903.308230	1.290436	0.303031	16650.585937
10903.309104	1.257854	0.303031	17749.951172
10903.310138	1.221039	0.303031	19012.505859
10903.311174	0.754200	0.303031	19793.857422
10903.312060	0.098123	0.303031	19880.794922
10903.312992	0.090677	0.303031	19965.306641
10903.314053	0.090754	0.303031	20061.597656
10903.314995	0.090707	0.303031	20147.042969
10903.315853	0.090714	0.303031	20224.875000
10903.316914	0.090751	0.303031	20321.162109
10903.317915	0.090626	0.303031	20411.878906
10903.318799	0.090667	0.303031	20492.027344
10903.319769	0.090798	0.303031	20580.101562
10903.320803	0.090751	0.303031	20673.937500
10904.273413	1.263256	0.289596	630.364563
10904.274431	1.718086	0.289596	2379.375977
10904.275326	1.686533	0.289596	3888.823242
10904.276292	1.637010	0.289596	5470.175293
10904.277342	1.582921	0.289596	7132.242676
10904.278275	1.537551	0.289596	8566.778320
10904.279140	1.495375	0.289596	9860.277344
10904.280227	1.447896	0.289596	11434.139648
10904.281233	1.405232	0.289596	12847.802734
10904.282117	1.368706	0.289596	14057.738281
10904.283112	1.329291	0.289596	15380.382812
10904.284175	1.288619	0.289596	16750.185547
10904.285073	1.254635	0.289596	17876.847656
10904.285935	1.222540	0.289596	18930.677734
10904.287046	0.750604	0.289596	19764.599609
10904.288011	0.095321	0.289596	19856.583984
10904.288870	0.090710	0.289596	19934.503906
10904.289866	0.090784	0.289596	20024.923828
10904.290917	0.090780	0.289596	20120.333984
10904.291802	0.090699	0.289596	20200.603516
10904.292672	0.090685	0.289596	20279.500000
10904.293782	0.090740	0.289596	20380.220703
10904.294741	0.090645	0.289596	20467.148437
10904.295607	0.090692	0.289596	20545.687500
10904.296601	0.090868	0.289596	20636.009766
10905.325005	1.216970	0.334226	534.249939
