time (s)	coil I (A)	last det (V)	int current (uC)
10461.668841	1.251903	0.269044	559.600708
10461.669724	1.713933	0.269044	2073.003662
10461.670715	1.689188	0.269044	3746.989258
10461.671786	1.633975	0.269044	5496.976074
10461.672701	1.586521	0.269044	6948.642578
10461.673571	1.542323	0.269044	8290.463867
10461.674686	1.491782	0.269044	9953.800781
10461.675663	0.731382	0.269044	10668.361328
10461.676523	0.095537	0.269044	10750.523437
10461.677627	0.090740	0.269044	10850.700195
10461.678644	0.090670	0.269044	10942.912109
10461.679526	0.090699	0.269044	11022.909180
10461.680458	0.090773	0.269044	11107.509766
10461.681527	0.090645	0.269044	11204.409180
10461.682454	0.090645	0.269044	11288.436523
10461.683315	0.090692	0.269044	11366.522461
10461.684379	0.090747	0.269044	11463.077148
10461.685399	0.090729	0.269044	11555.620117
10462.647847	1.291897	0.305552	670.494507
10462.648855	1.716768	0.305552	2400.996094
10462.649729	1.685237	0.305552	3873.893066
10462.650744	1.633081	0.305552	5531.470215
10462.651787	1.580369	0.305552	7179.794922
10462.652661	1.536808	0.305552	8522.964844
10462.653548	1.493397	0.305552	9847.608398
10462.654648	0.647472	0.305552	10559.827148
10462.655610	0.091882	0.305552	10648.217773
10462.656473	0.090656	0.305552	10726.453125
10462.657492	0.090743	0.305552	10818.920898
10462.658537	0.090659	0.305552	10913.660156
10462.659424	0.090721	0.305552	10994.129883
10462.660361	0.090813	0.305552	11079.221680
10462.661432	0.090710	0.305552	11176.373047
10462.662374	0.090667	0.305552	11261.781250
10462.663238	0.090765	0.305552	11340.202148
10462.664297	0.090798	0.305552	11436.357422
10463.708632	1.233571	0.308654	547.705322
10463.709519	1.713479	0.308654	2067.561279
10463.710508	1.689467	0.308654	3738.443848
10463.711569	1.634542	0.308654	5472.693359
10463.712474	1.587832	0.308654	6909.681152
10463.713342	1.543583	0.308654	8249.510742
10463.714454	1.492826	0.308654	9909.533203
10463.715428	0.770277	0.308654	10659.783203
10463.716295	0.096372	0.308654	10743.337891
10463.717368	0.090740	0.308654	10840.701172
